,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
31/12/1993,,,,,,,,,,,,,,,,,,,,,,
31/1/1994,0.33%,1.12%,1.82%,2.16%,1.07%,8.83%,3.81%,3.70%,4.49%,11.59%,1.82%,3.14%,,,,,,,,,,
28/2/1994,0.17%,-1.63%,-2.38%,-0.69%,-8.43%,-5.36%,-2.93%,-1.98%,-4.94%,2.59%,-1.78%,-0.36%,,,,,,,,,,
31/3/1994,0.31%,-1.68%,-3.09%,-3.23%,-13.50%,-1.09%,-4.32%,0.13%,-6.69%,-5.51%,-9.05%,-5.28%,,,,,,,,,,
29/4/1994,0.27%,-0.88%,-0.93%,0.00%,-1.79%,-1.25%,1.28%,5.62%,3.63%,4.34%,-2.00%,0.59%,,,,,,,,,,
31/5/1994,0.37%,0.06%,-0.36%,-1.46%,7.19%,0.85%,1.65%,-4.60%,-5.23%,2.39%,3.42%,-1.12%,,,,,,,,,,
30/6/1994,0.35%,-0.01%,-0.26%,0.46%,-5.92%,1.26%,-3.01%,-2.23%,0.35%,3.29%,-2.76%,-3.40%,,,,,,,,,,
29/7/1994,0.42%,1.41%,2.45%,0.60%,2.12%,-1.66%,3.46%,6.62%,5.38%,-2.13%,6.22%,1.64%,,,,,,,,,,
31/8/1994,0.45%,0.29%,0.11%,0.79%,8.15%,3.56%,4.05%,1.93%,5.73%,1.75%,12.41%,5.57%,,,,,,,,,,
30/9/1994,0.33%,-1.04%,-1.87%,-0.02%,2.03%,-0.67%,-1.84%,-4.51%,-4.61%,-2.49%,1.14%,-0.33%,,,,,,,,,,
31/10/1994,0.53%,-0.05%,-0.25%,0.26%,-2.90%,1.00%,2.10%,3.77%,5.82%,2.54%,-1.80%,-0.39%,,,,,,,,,,
30/11/1994,0.36%,-0.65%,-0.22%,-0.86%,0.44%,-2.57%,-3.52%,-3.87%,-4.34%,-5.57%,-5.20%,-4.04%,,,,,,,,,,
30/12/1994,0.49%,0.27%,0.80%,1.03%,-6.28%,2.51%,1.50%,0.51%,0.12%,0.69%,-8.03%,2.69%,,,,,,,,,,
31/1/1995,0.65%,1.79%,2.08%,1.43%,-4.59%,-1.25%,2.33%,-0.41%,-1.52%,-6.30%,-10.64%,-1.26%,,,,,,,,,,
28/2/1995,0.51%,2.26%,2.89%,3.21%,-4.79%,5.22%,4.05%,2.87%,0.58%,-2.46%,-2.56%,4.16%,,,,,,,,,,
31/3/1995,0.55%,0.55%,0.79%,1.35%,-1.59%,6.37%,2.79%,3.08%,7.54%,7.70%,0.64%,1.72%,,,,,,,,,,
28/4/1995,0.51%,1.27%,1.72%,2.53%,10.12%,2.00%,3.09%,4.28%,1.40%,4.27%,4.49%,2.22%,,,,,,,,,,
31/5/1995,0.59%,3.32%,4.75%,3.14%,9.05%,4.78%,3.94%,1.37%,2.33%,-3.98%,5.32%,1.72%,,,,,,,,,,
30/6/1995,0.49%,0.68%,0.90%,0.67%,1.08%,4.03%,2.44%,0.89%,0.11%,-4.22%,0.30%,5.19%,,,,,,,,,,
31/7/1995,0.54%,-0.06%,-0.48%,1.30%,0.03%,0.75%,3.33%,5.75%,5.59%,7.23%,2.24%,5.76%,,,,,,,,,,
31/8/1995,0.50%,0.85%,1.62%,0.52%,2.79%,-2.98%,0.03%,-5.14%,-2.36%,-3.75%,-2.36%,2.07%,,,,,,,,,,
