Date,US0001M INDEX,FED30D INDEX,USGG10YR INDEX,LF98TRUU Index,MXWO INDEX,SPX INDEX,SPI INDEX,MXNA INDEX,MXJP INDEX,UKX INDEX,MXAS INDEX,MXASJ INDEX
31/12/1987,USD 1M LIBOR,30D FFR,US  10Y,BARC US CORP HY TOT RTN IDFX,,STD POOR IDX,SWISS PERF IDX,North America,Japan,FTSE 100,Asia,Asia Excl Japan
31/1/1988,6.8125%,6.8300%,8.2560%,3.3446%,2.2599%,4.0432%,-1.0313%,3.5638%,5.1744%,-1.9209%,5.3300%,4.9600%
29/2/1988,6.8125%,6.5800%,8.1490%,3.2363%,5.6255%,4.1817%,6.3717%,4.0448%,7.4721%,-0.9828%,7.2724%,0.7241%
31/3/1988,6.8125%,6.5800%,8.5420%,-1.0396%,2.8479%,-3.3343%,0.1707%,-3.0934%,7.6262%,4.7900%,7.4166%,5.1835%
30/4/1988,7.1250%,6.8700%,8.8890%,0.7635%,1.0877%,0.9425%,-1.0269%,0.6586%,0.9090%,2.9875%,1.1123%,4.2086%
31/5/1988,7.6250%,7.0900%,9.1510%,0.1505%,-2.1674%,0.3176%,-3.4862%,0.1896%,-4.5438%,-3.1118%,-4.4247%,-0.8284%
30/6/1988,7.8125%,7.5100%,8.8730%,1.4595%,-0.3101%,4.3256%,1.3782%,4.6273%,-3.7422%,-3.2430%,-3.3592%,8.6060%
31/7/1988,8.1250%,7.7500%,9.1050%,0.6558%,1.7098%,-0.5411%,-1.8929%,-0.7377%,4.1802%,-0.1277%,4.4376%,1.7707%
31/8/1988,8.3750%,8.0100%,9.2360%,-0.1471%,-5.6614%,-3.8600%,-1.3609%,-3.8088%,-7.2729%,-6.9163%,-7.6280%,-8.5971%
30/9/1988,8.3750%,8.1900%,8.9350%,1.2576%,4.0630%,3.9729%,2.9602%,3.7924%,4.7842%,4.6834%,4.1244%,0.4307%
31/10/1988,8.4375%,8.3000%,8.6440%,1.2108%,6.4774%,2.5964%,8.4229%,2.7771%,7.4765%,6.0961%,8.1855%,4.9314%
30/11/1988,9.5625%,8.3500%,9.0540%,0.5905%,3.3111%,-1.8891%,1.6818%,-1.7584%,9.3341%,1.1532%,8.5728%,1.0380%
31/12/1988,9.1875%,8.7600%,9.1370%,0.4696%,0.7396%,1.4688%,-1.8986%,1.4248%,0.4167%,-2.0328%,0.5832%,1.7958%
31/1/1989,9.2500%,9.1200%,8.9800%,1.7629%,3.4545%,7.1115%,-3.0942%,7.3455%,-0.2745%,10.7158%,0.6467%,11.7610%
28/2/1989,10.0625%,9.3600%,9.2950%,0.2197%,-0.7879%,-2.8944%,1.9424%,-3.3010%,2.2741%,-2.9009%,1.7948%,-0.8106%
31/3/1989,10.0625%,9.8500%,9.2750%,-0.7821%,-0.8020%,2.0806%,-2.3126%,1.8617%,-3.5536%,0.1841%,-3.3304%,1.7133%
30/4/1989,9.8750%,9.8400%,9.0530%,0.4218%,2.1414%,5.0090%,3.0254%,4.9113%,0.0847%,2.3593%,0.0525%,6.2513%
31/5/1989,9.6875%,9.8100%,8.6000%,1.9399%,-2.6119%,3.5138%,-4.7291%,3.3236%,-5.2142%,-7.2716%,-5.6489%,-4.6299%
30/6/1989,9.4375%,9.5300%,8.0770%,1.2409%,-1.2920%,-0.7925%,10.6238%,-0.4482%,-5.3752%,0.4351%,-4.6275%,-7.3932%
31/7/1989,8.6875%,9.2400%,7.8040%,-0.1308%,11.1271%,8.8370%,11.1972%,8.7624%,13.4329%,14.7794%,13.0554%,8.6970%
31/8/1989,9.0000%,8.9900%,8.2510%,0.3396%,-2.5706%,1.5517%,-1.1586%,1.2503%,-6.9563%,-2.1578%,-6.7473%,-1.9139%
30/9/1989,9.1250%,9.0200%,8.2860%,-1.6824%,2.6627%,-0.6544%,1.2053%,-0.5896%,6.3845%,-0.4864%,6.3419%,6.3821%
31/10/1989,8.7500%,8.8400%,7.9090%,-2.3701%,-3.4928%,-2.5175%,-5.3714%,-2.3528%,-2.6490%,-9.0865%,-2.6175%,-1.8872%
30/11/1989,8.8125%,8.5500%,7.8260%,-0.1964%,3.8285%,1.6541%,4.4763%,1.7019%,4.9890%,5.5577%,5.0244%,3.9887%
31/12/1989,8.5000%,8.4500%,7.9350%,0.1564%,3.0534%,2.1417%,3.1059%,1.9607%,-0.0060%,9.2538%,-0.0218%,4.5496%
31/1/1990,8.3125%,8.2300%,8.4180%,-2.1464%,-4.8296%,-6.8817%,-0.8420%,-6.9793%,-6.1781%,0.3938%,-5.8032%,-0.3228%
28/2/1990,8.3750%,8.2400%,8.5150%,-2.0648%,-4.4542%,0.8539%,0.2800%,1.0901%,-10.2580%,-3.5328%,-9.7429%,3.7741%
31/3/1990,8.3750%,8.2800%,8.6280%,2.6236%,-6.2164%,2.4255%,-1.9089%,1.9598%,-19.3961%,-2.0853%,-18.4159%,0.2461%
30/4/1990,8.5000%,8.2600%,9.0220%,-0.1691%,-1.6328%,-2.6887%,-0.1641%,-2.7463%,1.1392%,-6.7689%,0.8702%,-4.4121%
31/5/1990,8.2500%,8.1800%,8.5990%,1.9296%,10.3337%,9.1989%,13.7866%,8.8094%,14.0748%,13.9402%,14.0006%,9.6261%
30/6/1990,8.3750%,8.2900%,8.4120%,2.4167%,-0.8932%,-0.8886%,3.0149%,-0.6427%,-4.9807%,5.5423%,-4.3125%,2.1424%
31/7/1990,8.0000%,8.1500%,8.3410%,2.6939%,0.7244%,-0.5223%,3.6316%,-0.2659%,-0.8198%,4.3705%,-0.9338%,5.8560%
31/8/1990,8.0625%,8.1300%,8.8460%,-5.6917%,-9.5482%,-9.4314%,-10.9469%,-9.1294%,-10.1147%,-5.4527%,-10.0991%,-14.5778%
